course_id,title,platform,provider,level,duration,rating,skills,price
503,Introduction to Corporate Finance,Coursera,University of Pennsylvania,All Levels,35.0,4.6,"['"" General Accounting""', '"" Decision Making""', '"" Business Analysis""', '"" Strategy and Operations""}', '"" Finance""', '"" Data Analysis""', '"" Entrepreneurship""', '{"" Accounting""', '"" Budget Management""', '"" Mathematical Theory & Analysis""']",0.0
504,Agile Leadership,Coursera,University of Colorado System,Beginner,450.0,4.8,"['"" Resilience""', '"" Communication""', '"" Leadership Development""', '"" Organizational Development""', '"" Entrepreneurship""', '"" Collaboration""', '"" Scrum (Software Development)""}', '"" Project Management""', '"" Professional Development""', '"" Emotional Intelligence""', '"" Business Transformation""', '"" Strategy""', '"" Change Management""', '"" Business Communication""', '"" Business Psychology""', '"" Human Resources""', '{"" Leadership and Management""', '"" Adaptability""', '"" Strategy and Operations""']",0.0
505,تحليلات البيانات من Google,Coursera,Google,Beginner,450.0,4.8,"['"" Data Visualization""', '"" Critical Thinking""', '"" Databases""', '"" Data Analysis""', '"" Computer Programming Tools""', '"" Differential Equations""', '"" Exploratory Data Analysis""', '"" Theoretical Computer Science""', '"" Problem Solving""', '"" Decision Making""', '"" SQL""', '"" Data Analysis Software""', '"" Python Programming""', '"" Process Analysis""', '"" Algebra""', '"" Computational Thinking""', '"" Mathematics""', '"" Communication""}', '"" People Analysis""', '{"" Computer Programming""', '"" Programming Principles""']",0.0
506,Introduction to Cyber Security,Coursera,New York University,Beginner,450.0,4.7,"['"" Security Strategy""', '"" Network Security""', '"" System Security""', '"" Critical Thinking""', '"" Computer Security Models""', '"" Network Architecture""', '"" Cryptography""', '"" Algorithms""', '"" Computer Networking""', '"" Operational Analysis""', '"" Strategy""', '"" Problem Solving""', '"" Mobile Security""}', '"" Cyberattacks""', '"" Security Software""', '"" Computer Security Incident Management""', '"" Cloud Computing""', '{"" Security Engineering""', '"" BlockChain""', '"" Computational Thinking""', '"" Software Security""']",0.0
507,Google Data Analytics (DE),Coursera,Google,Beginner,450.0,4.4,"['{"" Design and Product""', '"" Business Analysis""', '"" Microsoft Excel""', '"" Data Analysis""', '"" SQL""}', '"" Software Engineering""', '"" Computer Programming""']",0.0
508,Python and Statistics for Financial Analysis,Coursera,The Hong Kong University of Science and Technology,Intermediate,35.0,4.4,"['"" Data Analysis Software""', '"" Python Programming""', '"" Probability Distribution""}', '"" Financial Analysis""', '"" Probability & Statistics""', '"" General Statistics""', '"" Data Analysis""', '"" Finance""', '"" Computer Programming""', '{"" Basic Descriptive Statistics""', '"" Statistical Analysis""']",0.0
509,Introduction to Philosophy,Coursera,The University of Edinburgh,All Levels,450.0,4.7,"['{""(9k reviews)""}']",0.0
510,Natural Language Processing with Probabilistic Models,Coursera,DeepLearning.AI,Intermediate,35.0,4.7,"['{"" Machine Learning""', '"" Python Programming""', '"" Statistical Machine Learning""}', '"" Natural Language Processing""', '"" Statistical Programming""']",0.0
511,Economics of Money and Banking,Coursera,Columbia University,All Levels,450.0,4.9,"['{"" Banking""', '"" Finance""}']",0.0
512,Design a User Experience for Social Good & Prepare for Jobs,Coursera,Google,Beginner,150.0,4.8,"['"" Web Design""}', '"" User Research""', '"" Social Media""', '{"" User Experience""']",0.0
